engine	dpr	strip	arm	size	photo_delta	cov	skel_med_dev	max_over_med	stroke_over_h	apertures	paper_regions	tile_rgb	tile_on_strip	core_median	sub45_n	frac_under45	frac_under3	blur_sigma
chromium	2	light-strip	B	180	0.000	0.291	55.317	1.029	0.196	None	1	[251, 250, 249]	1.258	18.991	732	0.019	0.015	
chromium	2	light-strip	B	32	0.000	0.290	10.000	1.077	0.200	None	1	[251, 250, 249]	1.258	18.991	130	0.099	0.077	0.150
chromium	2	light-strip	B	48	0.000	0.290	14.560	1.099	0.197	None	1	[251, 250, 249]	1.258	18.991	217	0.076	0.059	
chromium	2	light-strip	P	16	0.000	0.229	2.828	2.550	0.118	[7, 7]	1	[251, 250, 249]	1.258	18.991	68	0.231	0.180	
chromium	2	light-strip	P	180	0.000	0.229	32.311	2.132	0.120	None	1	[251, 250, 249]	1.258	18.991	795	0.026	0.021	
chromium	2	light-strip	P	32	0.000	0.229	6.000	2.134	0.125	None	1	[251, 250, 249]	1.258	18.991	131	0.124	0.098	
chromium	2	light-strip	P	48	0.000	0.229	8.944	2.110	0.124	None	1	[251, 250, 249]	1.258	18.991	209	0.091	0.071	
chromium	2	light-strip	W	16	0.000	0.227	4.000	1.118	0.167	[5, 6]	1	[251, 250, 249]	1.258	18.991	66	0.228	0.183	0.150
chromium	2	light-strip	W	180	0.000	0.230	44.227	1.032	0.164	None	1	[251, 250, 249]	1.258	18.991	766	0.025	0.020	
chromium	2	light-strip	W	32	0.000	0.230	8.000	1.061	0.167	None	1	[251, 250, 249]	1.258	18.991	129	0.121	0.099	0.150
chromium	2	light-strip	W	48	0.000	0.228	12.000	1.067	0.167	None	1	[251, 250, 249]	1.258	18.991	198	0.087	0.069	
chromium	2	light-strip	fable	16	0.000	0.192	4.000	1.118	0.160	[4, 8]	1	[251, 250, 249]	1.258	18.991	57	0.228	0.180	0.150
chromium	2	light-strip	fable	180	0.000	0.195	44.272	1.031	0.156	None	1	[251, 250, 249]	1.258	18.991	632	0.024	0.019	
chromium	2	light-strip	fable	32	0.000	0.195	8.246	1.029	0.162	None	1	[251, 250, 249]	1.258	18.991	110	0.122	0.088	0
chromium	2	light-strip	fable	48	0.000	0.195	12.000	1.067	0.160	None	1	[251, 250, 249]	1.258	18.991	166	0.085	0.067	
chromium	2	light-strip	main	16	0.000	0.520	5.657	2.236	0.195	[5, 5]	1	[250, 248, 245]	1.237	16.077	101	0.163	0.126	0
chromium	2	light-strip	main	180	0.000	0.523	52.612	2.490	0.161	None	2	[250, 248, 245]	1.237	16.077	1040	0.015	0.012	
chromium	2	light-strip	main	32	0.000	0.523	11.042	2.112	0.190	None	1	[250, 248, 245]	1.237	16.077	185	0.080	0.066	0
chromium	2	light-strip	main	48	0.000	0.522	16.000	2.211	0.184	None	1	[250, 248, 245]	1.237	16.077	297	0.058	0.046	
chromium	2	light-strip	opus	16	0.000	0.251	4.000	1.118	0.182	[5, 5]	1	[251, 250, 249]	1.258	18.991	65	0.206	0.162	0.150
chromium	2	light-strip	opus	180	0.000	0.254	44.045	1.044	0.178	None	1	[251, 250, 249]	1.258	18.991	820	0.024	0.018	
chromium	2	light-strip	opus	32	0.000	0.255	8.000	1.118	0.182	None	1	[251, 250, 249]	1.258	18.991	138	0.118	0.095	0.150
