arm | regime | theme | ground | engine | coarse | boardPx | median | worst | frac<3 | sens90 worst (n<3) | sens70
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | light | FRAME | chromium | True | 366 | 3.679 | 2.309 | 0.283 | 3.195 (0/41) | 2.554 (6/46)
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | light | FRAME | webkit | True | 366 | 3.685 | 1.27 | 0.35 | 3.195 (0/39) | 2.83 (5/39)
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | light | paper | chromium | True | 366 | 3.679 | 3.679 | 0 | 3.357 (0/60) | 2.436 (26/60)
HEAD-74a2b5d9 | land-844x390-dpr3-coarse | light | paper | webkit | True | 366 | 3.685 | 3.685 | 0 | 3.545 (0/60) | 2.383 (35/60)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | dark | FRAME | chromium | True | 366 | 3.763 | 1.88 | 0.283 | 3.26 (0/41) | 2.591 (5/45)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | dark | FRAME | webkit | True | 366 | 3.755 | 1.03 | 0.35 | 3.252 (0/39) | 2.764 (2/39)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | dark | paper | chromium | True | 366 | 3.763 | 3.763 | 0 | 3.408 (0/60) | 2.479 (25/60)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | dark | paper | webkit | True | 366 | 3.755 | 3.755 | 0 | 3.516 (0/60) | 2.431 (30/60)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | light | FRAME | chromium | True | 366 | 3.679 | 2.095 | 0.283 | 3.16 (0/41) | 2.554 (7/46)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | light | FRAME | webkit | True | 366 | 3.685 | 1.27 | 0.35 | 3.195 (0/39) | 2.83 (3/39)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | light | paper | chromium | True | 366 | 3.679 | 3.679 | 0 | 3.357 (0/60) | 2.437 (25/60)
HEAD-74a2b5d9 | phone-390x844-dpr3-coarse | light | paper | webkit | True | 366 | 3.685 | 3.685 | 0 | 3.433 (0/60) | 2.415 (32/60)
