ROW   lane-p5geom    no-pre webkit light               board cell 0           run n=60/60 med=3.965 worst=2.85 p30=3.965 frac=0.267 fracAll=0.267 vsIn med=3.615 worst=2.63 ring=True d=1.414 | 50% 1.979 26/60 | 70% 2.527 22/60 | 90% 3.534 16/60 | 100% 3.965 18/60
ROW   lane-p5geom    no-pre webkit light               board cell 40          run n=60/60 med=3.965 worst=3.965 p30=3.965 frac=0 fracAll=0 vsIn med=3.615 worst=1.289 ring=True d=1.414 | 50% 1.873 30/60 | 70% 2.474 18/60 | 90% 3.405 0/60 | 100% 3.965 0/60
ROW   lane-p5geom    no-pre webkit light               button.logo-trigger    run n=60/60 med=4.188 worst=3.493 p30=4.188 frac=0 fracAll=0 vsIn med=4.188 worst=2.103 ring=True d=0 | 50% 1.927 41/60 | 70% 2.585 11/60 | 90% 3.629 2/60 | 100% 4.188 3/60
ROW   lane-p5geom    no-pre webkit light               .drawer-tab            run n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=4.106 worst=1.027 ring=True d=0 | 50% 1.944 35/60 | 70% 2.584 16/60 | 90% 3.587 12/60 | 100% 4.188 15/60
ROW   lane-p5geom    no-pre webkit light               .controls-card button  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=4.289 worst=4.289 ring=True d=0 | 50% 1.976 26/60 | 70% 2.648 1/60 | 90% 3.627 0/60 | 100% 4.289 0/60
ROW   lane-p5geom    no-pre webkit dark                board cell 0           run n=60/60 med=3.997 worst=2.404 p30=3.989 frac=0.267 fracAll=0.267 vsIn med=3.695 worst=1.026 ring=True d=1 | 50% 1.746 27/60 | 70% 2.591 20/60 | 90% 3.608 16/60 | 100% 3.997 21/60
ROW   lane-p5geom    no-pre webkit dark                board cell 40          run n=60/60 med=3.997 worst=3.989 p30=3.997 frac=0 fracAll=0 vsIn med=3.695 worst=1.266 ring=True d=1 | 50% 1.901 30/60 | 70% 2.556 14/60 | 90% 3.501 0/60 | 100% 3.997 4/60
ROW   lane-p5geom    no-pre webkit dark                button.logo-trigger    run n=60/60 med=4.379 worst=3.361 p30=4.379 frac=0 fracAll=0 vsIn med=4.379 worst=2.186 ring=True d=0 | 50% 1.98 40/60 | 70% 2.73 8/60 | 90% 3.748 2/60 | 100% 4.379 3/60
ROW   lane-p5geom    no-pre webkit dark                .drawer-tab            run n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=3.338 worst=1.061 ring=True d=0 | 50% 1.444 43/60 | 70% 2.453 17/60 | 90% 3.689 9/60 | 100% 4.286 14/60
ROW   lane-p5geom    no-pre webkit dark                .controls-card button  run n=60/60 med=4.286 worst=4.286 p30=4.286 frac=0 fracAll=0 vsIn med=4.286 worst=4.286 ring=True d=0 | 50% 1.96 26/60 | 70% 3.158 0/60 | 90% 3.715 0/60 | 100% 4.286 0/60
LAW39 lane-p5geom    reduce webkit light               drawn ring             run1 n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.952 37/60 | 70% 2.584 17/60 | 90% 3.587 10/60 | 100% 4.188 14/60
LAW39 lane-p5geom    reduce webkit light               drawn ring             run2 n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.952 37/60 | 70% 2.584 17/60 | 90% 3.587 10/60 | 100% 4.188 14/60
LAW39 lane-p5geom    reduce webkit dark                none 3px rgb(237, 236, run1 n=0/60 med=None worst=None p30=None frac=0 fracAll=1 vsIn med=None worst=None ring=None d=None | 50% 1 60/60 | 70% 1 60/60 | 90% 1 60/60 | 100% 1 60/60
LAW39 lane-p5geom    reduce webkit dark                drawn ring             run2 n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.444 41/60 | 70% 2.453 15/60 | 90% 3.689 9/60 | 100% 4.286 14/60
ROW   lane-p5geom    reduce chromi light 0.95 #3a7bc4  FRAME                  run n=60/60 med=3.972 worst=2.812 p30=3.92 frac=0.1 fracAll=0.1 vsIn med=3.619 worst=1.827 ring=True d=1.732 | 50% 1.979 58/60 | 70% 2.748 13/60 | 90% 3.489 14/60 | 100% 3.972 22/60
ROW   lane-p5geom    reduce chromi light 0.95 #3a7bc4  paper                  run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=2.007 ring=True d=1.732 | 50% 1.918 22/60 | 70% 2.787 2/60 | 90% 3.4 0/60 | 100% 3.972 2/60
ROW   lane-p5geom    reduce chromi light 0.95 #4589d2  FRAME                  run n=60/60 med=3.368 worst=2.695 p30=3.334 frac=0.083 fracAll=0.083 vsIn med=3.091 worst=1.728 ring=True d=1.732 | 50% 1.698 47/60 | 70% 2.452 34/60 | 90% 3.006 14/60 | 100% 3.368 22/60
ROW   lane-p5geom    reduce chromi light 0.95 #4589d2  paper                  run n=60/60 med=3.368 worst=3.326 p30=3.368 frac=0 fracAll=0 vsIn med=3.091 worst=1.831 ring=True d=1.732 | 50% 1.786 22/60 | 70% 2.481 4/60 | 90% 2.937 2/60 | 100% 3.368 2/60
ROW   lane-p5geom    reduce chromi light 1    #3a7bc4  FRAME                  run n=60/60 med=4.289 worst=2.98 p30=4.289 frac=0.1 fracAll=0.1 vsIn med=3.908 worst=1.686 ring=True d=0 | 50% 2.068 58/60 | 70% 2.893 9/60 | 90% 3.819 14/60 | 100% 4.289 18/60
ROW   lane-p5geom    reduce chromi light 1    #3a7bc4  paper                  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=2.899 worst=1.698 ring=True d=0 | 50% 1.933 24/60 | 70% 2.934 1/60 | 90% 3.716 0/60 | 100% 4.289 0/60
ROW   lane-p5geom    reduce chromi light 1    #4589d2  FRAME                  run n=60/60 med=3.581 worst=2.918 p30=3.581 frac=0.033 fracAll=0.033 vsIn med=3.286 worst=1.799 ring=True d=0 | 50% 1.496 44/60 | 70% 2.572 26/60 | 90% 3.091 14/60 | 100% 3.581 18/60
ROW   lane-p5geom    reduce chromi light 1    #4589d2  paper                  run n=60/60 med=3.581 worst=3.581 p30=3.581 frac=0 fracAll=0 vsIn med=2.515 worst=1.569 ring=True d=0 | 50% 1.786 24/60 | 70% 2.599 2/60 | 90% 3.159 0/60 | 100% 3.581 0/60
