LAW39 lane-graft     reduce webkit light               drawn ring             run2 n=60/60 med=4.188 worst=2.235 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.952 37/60 | 70% 2.584 17/60 | 90% 3.587 10/60 | 100% 4.188 14/60
LAW39 lane-graft     reduce webkit dark                drawn ring             run1 n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.444 41/60 | 70% 2.453 15/60 | 90% 3.689 9/60 | 100% 4.286 14/60
LAW39 lane-graft     reduce webkit dark                drawn ring             run2 n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.444 41/60 | 70% 2.453 15/60 | 90% 3.689 9/60 | 100% 4.286 14/60
ROW   lane-graft     reduce chromi light 0.95 #3a7bc4  FRAME                  run n=60/60 med=3.972 worst=1.008 p30=2.812 frac=0.333 fracAll=0.333 vsIn med=3.619 worst=1.026 ring=True d=1.732 | 50% 1.87 48/60 | 70% 2.527 39/60 | 90% 3.449 20/60 | 100% 3.972 30/60
ROW   lane-graft     reduce chromi light 0.95 #3a7bc4  paper                  run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=1.273 ring=True d=1.732 | 50% 1.87 34/60 | 70% 2.527 17/60 | 90% 3.4 0/60 | 100% 3.972 10/60
ROW   lane-graft     reduce chromi light 0.95 #4589d2  FRAME                  run n=60/60 med=3.368 worst=1.192 p30=3.334 frac=0.017 fracAll=0.017 vsIn med=3.091 worst=1.075 ring=True d=1.732 | 50% 1.761 41/60 | 70% 2.283 24/60 | 90% 2.978 21/60 | 100% 3.368 30/60
ROW   lane-graft     reduce chromi light 0.95 #4589d2  paper                  run n=60/60 med=3.368 worst=3.326 p30=3.368 frac=0 fracAll=0 vsIn med=3.091 worst=1.233 ring=True d=1.732 | 50% 1.747 39/60 | 70% 2.283 27/60 | 90% 2.937 2/60 | 100% 3.368 10/60
ROW   lane-graft     reduce chromi light 1    #3a7bc4  FRAME                  run n=60/60 med=4.289 worst=1.011 p30=2.98 frac=0.333 fracAll=0.333 vsIn med=3.908 worst=1.022 ring=True d=0 | 50% 1.95 47/60 | 70% 2.653 33/60 | 90% 3.765 20/60 | 100% 4.289 20/60
ROW   lane-graft     reduce chromi light 1    #3a7bc4  paper                  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=3.908 worst=1.41 ring=True d=0 | 50% 1.936 32/60 | 70% 2.677 14/60 | 90% 3.716 0/60 | 100% 4.289 0/60
ROW   lane-graft     reduce chromi light 1    #4589d2  FRAME                  run n=60/60 med=3.581 worst=1.211 p30=3.569 frac=0.017 fracAll=0.017 vsIn med=3.286 worst=1.159 ring=True d=0 | 50% 1.801 37/60 | 70% 2.369 22/60 | 90% 3.199 20/60 | 100% 3.581 20/60
ROW   lane-graft     reduce chromi light 1    #4589d2  paper                  run n=60/60 med=3.581 worst=3.581 p30=3.581 frac=0 fracAll=0 vsIn med=3.286 worst=1.34 ring=True d=0 | 50% 1.786 36/60 | 70% 2.39 21/60 | 90% 3.159 0/60 | 100% 3.581 0/60
ROW   lane-graft     reduce chromi dark  0.95 #3a7bc4  FRAME                  run n=60/60 med=3.989 worst=1.19 p30=2.436 frac=0.333 fracAll=0.333 vsIn med=3.691 worst=1.026 ring=True d=0 | 50% 1.879 46/60 | 70% 2.552 38/60 | 90% 3.501 20/60 | 100% 3.989 20/60
ROW   lane-graft     reduce chromi dark  0.95 #3a7bc4  paper                  run n=60/60 med=3.989 worst=3.989 p30=3.989 frac=0 fracAll=0 vsIn med=3.691 worst=1.361 ring=True d=0 | 50% 1.872 31/60 | 70% 2.552 16/60 | 90% 3.461 0/60 | 100% 3.989 0/60
ROW   lane-graft     reduce chromi dark  0.95 #2f68aa  FRAME                  run n=60/60 med=3.084 worst=1.532 p30=3.084 frac=0.017 fracAll=0.017 vsIn med=2.906 worst=1.286 ring=True d=0 | 50% 1.486 46/60 | 70% 2.1 40/60 | 90% 2.733 13/60 | 100% 3.084 10/60
ROW   lane-graft     reduce chromi dark  0.95 #2f68aa  paper                  run n=60/60 med=3.084 worst=3.084 p30=3.084 frac=0 fracAll=0 vsIn med=2.906 worst=1.299 ring=True d=0 | 50% 1.635 42/60 | 70% 2.156 34/60 | 90% 2.728 10/60 | 100% 3.084 0/60
ROW   lane-graft     reduce chromi dark  0.95 #306cb0  FRAME                  run n=60/60 med=3.231 worst=1.463 p30=2.992 frac=0.333 fracAll=0.333 vsIn med=3.042 worst=1.23 ring=True d=1 | 50% 1.422 52/60 | 70% 2.17 46/60 | 90% 2.867 25/60 | 100% 3.231 20/60
ROW   lane-graft     reduce chromi dark  0.95 #306cb0  paper                  run n=60/60 med=3.231 worst=3.231 p30=3.231 frac=0 fracAll=0 vsIn med=3.042 worst=1.316 ring=True d=1 | 50% 1.665 39/60 | 70% 2.195 30/60 | 90% 2.865 4/60 | 100% 3.231 0/60
ROW   lane-graft     reduce chromi dark  1    #3a7bc4  FRAME                  run n=60/60 med=4.286 worst=1.201 p30=2.528 frac=0.333 fracAll=0.333 vsIn med=3.966 worst=1.142 ring=True d=0 | 50% 1.96 45/60 | 70% 2.707 32/60 | 90% 3.728 20/60 | 100% 4.286 20/60
ROW   lane-graft     reduce chromi dark  1    #3a7bc4  paper                  run n=60/60 med=4.286 worst=4.286 p30=4.286 frac=0 fracAll=0 vsIn med=3.966 worst=1.36 ring=True d=0 | 50% 1.98 30/60 | 70% 2.685 11/60 | 90% 3.723 0/60 | 100% 4.286 0/60
ROW   lane-graft     reduce chromi dark  1    #2f68aa  FRAME                  run n=60/60 med=3.28 worst=1.57 p30=3.28 frac=0.017 fracAll=0.017 vsIn med=3.091 worst=1.277 ring=True d=0 | 50% 1.508 42/60 | 70% 2.203 35/60 | 90% 2.915 4/60 | 100% 3.28 20/60
ROW   lane-graft     reduce chromi dark  1    #2f68aa  paper                  run n=60/60 med=3.28 worst=3.28 p30=3.28 frac=0 fracAll=0 vsIn med=3.091 worst=1.323 ring=True d=0 | 50% 1.707 39/60 | 70% 2.203 30/60 | 90% 2.905 5/60 | 100% 3.28 0/60
ROW   lane-graft     reduce chromi dark  1    #306cb0  FRAME                  run n=60/60 med=3.473 worst=1.483 p30=3.119 frac=0.017 fracAll=0.017 vsIn med=3.27 worst=1.259 ring=True d=0 | 50% 1.425 41/60 | 70% 2.367 32/60 | 90% 3.084 1/60 | 100% 3.473 20/60
ROW   lane-graft     reduce chromi dark  1    #306cb0  paper                  run n=60/60 med=3.473 worst=3.473 p30=3.473 frac=0 fracAll=0 vsIn med=3.27 worst=1.335 ring=True d=0 | 50% 1.759 36/60 | 70% 2.299 25/60 | 90% 3.033 0/60 | 100% 3.473 0/60
ROW   lane-graft     reduce chromi light               board cell 0           run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=1.511 ring=True d=1.732 | 50% 1.89 22/60 | 70% 2.629 10/60 | 90% 3.405 0/60 | 100% 3.972 11/60
ROW   lane-graft     reduce chromi light               board cell 40          run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=1.427 ring=True d=1.732 | 50% 1.87 30/60 | 70% 2.554 13/60 | 90% 3.4 0/60 | 100% 3.972 14/60
ROW   lane-graft     reduce chromi light               button.logo-trigger    run n=60/60 med=4.188 worst=3.493 p30=4.188 frac=0 fracAll=0 vsIn med=4.188 worst=4.188 ring=True d=0 | 50% 1.927 40/60 | 70% 2.658 14/60 | 90% 3.576 2/60 | 100% 4.188 2/60
ROW   lane-graft     reduce chromi light               .drawer-tab            run n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=4.145 worst=1.055 ring=True d=0 | 50% 1.927 38/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
ROW   lane-graft     reduce chromi light               .controls-card button  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=4.289 worst=4.289 ring=True d=0 | 50% 1.95 34/60 | 70% 2.653 8/60 | 90% 3.92 0/60 | 100% 4.289 0/60
